velocity_24h,structuring_count_24h,std_dev_24h,amount,is_smurf
1,0,0.0,1038.95,0
1,0,0.0,1126.21,0
1,0,0.0,1560.54,0
1,0,0.0,4105.11,0
1,0,0.0,2998.11,0
1,0,0.0,1218.39,0
1,0,0.0,1892.38,0
1,0,0.0,1895.55,0
2,0,56.526116088052646,1975.49,0
1,0,0.0,4059.13,0
1,0,0.0,4199.86,0
2,0,396.53841182160363,3639.07,0
1,0,0.0,1696.69,0
2,0,70.42076433836837,1597.1,0
1,0,0.0,3581.59,0
1,0,0.0,453.24,0
1,0,0.0,3469.16,0
1,0,0.0,3497.64,0
1,0,0.0,966.75,0
1,0,0.0,3017.25,0
2,0,1450.219439671114,966.33,0
1,0,0.0,2160.35,0
1,0,0.0,526.12,0
2,0,2565.3339046701117,4154.05,0
1,0,0.0,4588.99,0
1,0,0.0,3857.01,0
2,0,489.73508558199103,4549.6,0
1,0,0.0,975.02,0
2,0,1902.1313835274366,3665.04,0
1,0,0.0,1398.87,0
1,0,0.0,665.26,0
1,0,0.0,846.64,0
2,0,246.7944087697288,497.62,0
1,0,0.0,2206.77,0
2,0,106.45492590763486,2056.22,0
1,0,0.0,1564.49,0
1,0,0.0,1186.53,0
1,0,0.0,4305.49,0
1,0,0.0,716.53,0
2,0,2211.6885901952833,3844.33,0
1,0,0.0,101.81,0
1,0,0.0,4701.7,0
1,0,0.0,4931.5,0
1,0,0.0,1305.73,0
1,0,0.0,804.07,0
1,0,0.0,1578.57,0
2,0,1027.4261530640538,3031.57,0
2,0,1199.401593316434,1335.36,0
1,0,0.0,953.0,0
1,0,0.0,3392.52,0
1,0,0.0,3119.94,0
2,0,1155.2922723060171,1486.11,0
1,0,0.0,1904.7,0
1,0,0.0,3997.13,0
1,0,0.0,3875.35,0
2,0,213.55331898614904,4177.36,0
1,0,0.0,402.83,0
1,0,0.0,637.13,0
2,0,1988.532761120621,3449.34,0
3,0,2042.4327947899128,4609.01,0
4,0,1667.724906359459,2932.27,0
