user_id,structuring_count,amount_std_dev,round_number_ratio,flow_ratio,distinct_counterparties,wager_ratio,win_loss_ratio,unique_device_count,unique_ip_count,night_owl_ratio,velocity_24h,avg_transaction_amount,is_smurf,smurf_type
USER_03164,0,76.39177845,0.083333333,1.114589072,0,3.053338495,1.872847652,4,2,0.042857142,1.166666647,171.6191429,FALSE,none
USER_00593,0,86.50555711,0,1.069744614,0,3.341454219,2.083861936,5,5,0.08695652,1.149999981,208.4118841,FALSE,none
USER_01009,0,79.92988692,0.066666667,1.047393365,0,3.139276479,1.815622393,3,3,0.08219178,1.216666646,202.0339726,FALSE,none
USER_04406,0,70.05586834,0,1.076388773,0,2.829951513,2.039754602,6,3,0.086419752,1.349999978,184.8232099,FALSE,none
USER_01152,0,80.98605469,0,1.051474968,0,2.565779569,1.346177156,5,6,0.04109589,1.216666646,176.4487671,FALSE,none
USER_00507,0,79.72993683,0,1.061831897,0,3.093563173,1.998597735,4,4,0.02739726,1.216666646,186.909863,FALSE,none
USER_03988,0,76.90185795,0,1.049159949,0,3.404470158,3.349281611,2,9,0.066666666,1.249999979,185.5028,FALSE,none
SMURF_04947,0,0,0,20.00014231,10,0,0,97.71,99,0.264705881,2.833333286,463.8971765,TRUE,fan_in
USER_03081,0,87.60773573,0,1.082336154,0,3.836965485,2.671441411,4,3,0.039473684,1.266666646,209.4865789,FALSE,none
USER_04641,0,72.62614571,0,1.036094687,0,3.169989103,1.641186109,5,6,0.064935064,1.283333312,164.1745455,FALSE,none
USER_01709,0,89.40735134,0,1.019341191,0,3.352803791,2.262514119,2,9,0.04347826,1.149999981,206.4217391,FALSE,none
USER_00293,0,89.47329759,0,1.154101691,0,3.06801433,1.490199959,4,4,0.015151515,1.099999982,180.874697,FALSE,none
SMURF_04860,0,0,0,20.00014231,10,0,0,96,85,0.278688522,2.033333299,484.7733607,TRUE,fan_in
USER_01110,0,96.19436533,0,1.020365141,0,3.08290748,2.300731468,2,5,0.039473684,1.266666646,208.7002632,FALSE,none
USER_01765,0,91.97625374,0,1.082339253,0,2.951178173,1.062845102,7,4,0.056338027,1.183333314,116.4646479,FALSE,none
USER_03620,0,76.72273963,0,1.074487967,0,3.36918269,1.95678998,5,9,0.028571428,1.166666647,169.0334286,FALSE,none
USER_00230,0,79.21659866,0,1.029648301,0,4.242447232,2.312063153,5,5,0.025974026,1.283333312,220.5487013,FALSE,none
USER_03339,0,72.41325537,0,1.025761243,0,3.680511649,2.252494548,5,5,0.039473684,1.266666646,188.7471053,FALSE,none
USER_04294,0,72.07999204,0,1.12809564,0,3.886489452,3.291674738,6,5,0.02739726,1.216666646,181.7384932,FALSE,none
USER_04687,0,72.37460876,0,1.028774236,0,3.95614384,4.457725691,5,4,0.088607594,1.316666645,251.2981013,FALSE,none
USER_03777,0,86.30616723,0,1.076550981,0,2.772337418,2.136287459,6,4,0.05479452,1.216666646,178.770274,FALSE,none
USER_02228,0,78.33442626,0,1.04090649,0,2.978995473,2.185450378,4,6,0.012820513,1.299999978,226.3561538,FALSE,none
USER_01402,0,47.00119928,0,1.069106562,0,2.829410502,2.007697567,7,4,0.042253521,1.183333314,209.3242254,FALSE,none
USER_04569,0,78.82012595,0,1.035084098,0,3.378375739,1.770590161,3,4,0.052631578,1.266666646,184.1992105,FALSE,none
USER_01281,0,76.28414431,0,1.030010428,0,3.181148813,1.335476495,7,5,0.067567567,1.233333313,184.6667568,FALSE,none
USER_04060,0,86.21810342,0,1.070874664,0,4.565604315,2.584379979,3,6,0.042857142,1.166666647,217.3004286,FALSE,none
USER_00057,0,95.14345116,0,1.039132151,0,3.371870346,2.491289965,3,9,0.057142856,1.166666647,211.0111429,FALSE,none
USER_01157,0,92.63344999,0,1.165631007,0,2.447116272,1.069616992,7,8,0.044117646,1.133333314,123.9263235,FALSE,none
USER_02019,0,82.13184638,0,1.054978414,0,3.304766333,1.459554037,10,4,0.027777777,1.19999998,187.7565278,FALSE,none
USER_01691,0,105.0093688,0,1.083940364,0,3.173230162,2.09244579,5,4,0.057971014,1.149999981,216.6772464,FALSE,none
USER_01351,0,73.6598751,0,1.148360425,0,4.451975834,1.902470422,2,4,0.028571428,1.166666647,170.2287143,FALSE,none
USER_04214,0,66.15881263,0,1.020814268,0,2.886518556,2.409697057,4,4,0.037037037,1.349999978,227.9049383,FALSE,none
USER_03734,0,98.06294764,0,1.028658325,0,3.059130004,3.058249408,4,5,0.053333333,1.249999979,204.0197333,FALSE,none
USER_02245,0,78.63522129,0,1.112210902,0,3.730499534,2.97970568,3,6,0.02739726,1.216666646,197.5805479,FALSE,none
USER_00750,0,61.31607982,0,1.05779242,0,4.229339745,4.113074618,7,1,0.066666666,1.249999979,258.2524,FALSE,none
USER_00463,0,85.64188366,0,1.032154807,0,2.470511763,1.131464002,9,4,0.041666666,1.19999998,138.08125,FALSE,none
USER_02526,0,88.0467453,0,1.0897174,0,3.152587813,1.688189624,5,5,0.067567567,1.233333313,175.9821622,FALSE,none
USER_02463,0,64.34024498,0,1.032333603,0,3.357355547,2.448799253,6,6,0.028169014,1.183333314,141.7959155,FALSE,none
USER_01119,0,49.66974605,0,1.089778068,0,4.684205718,1.679336844,4,3,0.04109589,1.216666646,147.2168493,FALSE,none
USER_03860,0,82.53981701,0,1.062739068,0,3.635403435,2.61824115,6,1,0.067567567,1.233333313,220.442973,FALSE,none
USER_02366,0,81.69146695,0.076923077,1.117597251,0,3.262688064,1.51985764,3,7,0.028169014,1.183333314,164.144507,FALSE,none
USER_02668,0,76.44718862,0,1.053004391,0,6.07265134,4.183706391,2,7,0.067567567,1.233333313,213.6528378,FALSE,none
SMURF_04956,0,0,0,20.00014231,10,0,0,82,84,0.194174755,1.716666638,507.45,TRUE,fan_in
USER_00328,0,85.63654921,0,1.020673093,0,2.844222448,1.889510788,3,5,0.051948051,1.283333312,181.5120779,FALSE,none
USER_02588,0,70.98430178,0,1.053829618,0,4.263008192,1.924310897,6,4,0.054054053,1.233333313,171.5910811,FALSE,none
USER_00487,0,83.87093093,0,1.049067426,0,2.862417897,1.815546648,5,2,0.07142857,1.166666647,159.2198571,FALSE,none
USER_02401,0,69.49319725,0,1.085010723,0,2.531725385,1.201044282,2,4,0.054054053,1.233333313,148.5871622,FALSE,none
USER_01278,0,65.73501879,0,1.042719276,0,3.790815655,1.331075931,4,5,0.027027027,1.254237267,159.5222973,FALSE,none
USER_04573,0,65.26710193,0.071428571,1.028886543,0,3.584930664,2.180677856,4,5,0.063291138,1.316666645,203.8455696,FALSE,none
USER_01072,0,62.7498882,0.0625,1.092386986,0,2.856929872,1.467672221,5,6,0.04054054,1.254237267,189.3225676,FALSE,none
USER_02078,0,70.07579465,0,1.06028598,0,3.239206194,1.143069196,8,3,0.057971014,1.149999981,134.897971,FALSE,none
USER_02695,0,84.7877447,0,1.043056648,0,4.18679835,2.801917333,6,7,0.013333333,1.271186419,184.9554667,FALSE,none
USER_00466,0,86.56946763,0,1.050443798,0,3.747225492,1.970694176,3,4,0.055555555,1.19999998,197.3859722,FALSE,none
USER_00220,0,92.80729869,0,1.03076343,0,3.398458087,2.276853982,2,7,0.04109589,1.216666646,226.5124658,FALSE,none
USER_01808,0,79.78881376,0,1.120156763,0,5.641928199,1.751303175,3,6,0.072463767,1.149999981,171.3117391,FALSE,none
USER_01942,0,91.88319645,0,1.016288411,0,3.183709734,2.276986297,9,5,0.054054053,1.233333313,218.082027,FALSE,none
USER_04836,0,100.5480078,0,1.047809841,0,6.063812743,4.21220401,5,2,0.077922077,1.283333312,241.2131169,FALSE,none
USER_04659,0,79.12293914,0,1.031602773,0,3.20606305,2.558225516,8,2,0.083333332,1.19999998,219.5352778,FALSE,none
USER_02542,0,99.74325697,0,1.029567927,0,3.882246498,2.043870954,6,6,0.013157895,1.266666646,220.2468421,FALSE,none
USER_02551,0,86.15495055,0,1.044038751,0,3.696262186,1.708499455,5,9,0.037974683,1.316666645,167.8326582,FALSE,none
USER_04558,0,85.53513049,0,1.0492213,0,2.616976709,1.876566069,5,9,0.067567567,1.233333313,177.7214865,FALSE,none
USER_04341,0,75.31287092,0,1.035419595,0,3.56591854,2.387460895,5,2,0.052631578,1.266666646,233.1755263,FALSE,none
USER_02109,0,71.63402273,0,1.030639726,0,3.417238685,2.761091008,10,8,0.09589041,1.216666646,196.4546575,FALSE,none
SMURF_04944,0,0,0,20.00014231,10,0,0,97.71,99,0.238095237,2.799999953,472.6479167,TRUE,fan_in
USER_03086,0,81.71626513,0.0625,1.049429248,0,3.094160134,2.683426255,3,5,0.063291138,1.316666645,209.3772152,FALSE,none
USER_04508,0,77.8724472,0,1.075365688,0,2.561325715,1.92002151,4,5,0.05479452,1.216666646,150.4327397,FALSE,none
USER_00447,0,70.52767319,0,1.01840442,0,2.939066587,1.31908719,5,6,0.013888889,1.220338962,165.5705556,FALSE,none
USER_01199,0,78.33131642,0,1.016598743,0,3.468244229,1.654546066,5,3,0.054054053,1.233333313,173.3874324,FALSE,none
USER_01524,0,91.92247997,0,1.062214318,0,3.678517218,2.364741763,3,2,0.069444443,1.19999998,197.4452778,FALSE,none
USER_03997,0,65.85999948,0,1.049064396,0,2.969406509,1.380395697,10,4,0.041666666,1.19999998,188.8198611,FALSE,none
USER_02298,0,95.36506617,0,1.027377928,0,4.837214191,4.137616105,4,4,0.013513513,1.233333313,204.8125676,FALSE,none
USER_04201,0,78.22664648,0,1.029992599,0,3.521801655,3.298663607,3,5,0.027027027,1.233333313,205.7109459,FALSE,none
USER_01401,0,82.15876458,0,1.058813651,0,4.18504496,3.188476984,2,2,0.025,1.333333311,242.121375,FALSE,none
USER_03128,0,75.83321416,0,1.072416234,0,2.853546347,1.246258755,2,6,0.056338027,1.183333314,140.1683099,FALSE,none
USER_04675,0,40.68652647,0,1.089907742,0,4.349332316,3.516931731,6,6,0.058823529,1.133333314,194.9813235,FALSE,none
