velocity_24h,structuring_count_24h,std_dev_24h,amount,is_smurf
1,0,0.0,4936.97,0
1,0,0.0,229.09,0
1,0,0.0,612.23,0
1,0,0.0,268.66,0
2,0,1489.760850875066,2375.5,0
1,0,0.0,4889.18,0
2,0,518.7123214750161,4155.61,0
1,0,0.0,3418.05,0
1,0,0.0,1984.57,0
2,0,1345.051448105239,82.38,0
1,0,0.0,2402.77,0
2,0,592.7393303974353,1564.51,0
1,0,0.0,1565.47,0
1,0,0.0,1020.61,0
1,0,0.0,3964.56,0
1,0,0.0,1809.55,0
1,0,0.0,3079.05,0
2,0,300.8315089880045,3504.49,0
2,0,2259.0293891957226,309.74,0
3,0,1597.3795794467053,1900.49,0
1,0,0.0,4063.28,0
1,0,0.0,4352.26,0
2,0,2364.374157456895,1008.53,0
2,0,2127.670162454698,4017.51,0
2,0,608.1330450238665,3157.48,0
3,0,1649.6163543785972,829.06,0
1,0,0.0,169.75,0
2,0,748.3098933262876,1228.02,0
1,0,0.0,1011.5,0
1,0,0.0,640.89,0
1,0,0.0,404.1,0
2,0,3241.7168962141036,4988.58,0
1,0,0.0,3141.62,0
1,0,0.0,2387.0,0
2,0,461.5427382160833,1734.28,0
1,0,0.0,3898.23,0
2,0,6.137686860699117,3906.91,0
3,0,39.02271005453097,3835.4,0
1,0,0.0,3194.09,0
1,0,0.0,59.78,0
2,0,562.2418149248596,854.91,0
2,0,382.8912509447037,1396.4,0
3,0,275.20984738922414,1211.17,0
1,0,0.0,2707.91,0
2,0,1597.2835080222926,4966.81,0
1,0,0.0,1352.9,0
2,0,1034.8083478596411,2816.34,0
1,0,0.0,4514.27,0
2,0,1042.0986187736748,3040.52,0
2,0,465.48132298729234,3698.81,0
1,0,0.0,2139.8,0
1,0,0.0,3582.96,0
1,0,0.0,104.28,0
1,0,0.0,2662.25,0
1,0,0.0,1765.97,0
2,0,1494.3853292240258,3879.35,0
2,0,2474.2868355245314,380.18,0
1,0,0.0,4216.73,0
1,0,0.0,3076.46,0
1,0,0.0,4517.28,0
1,0,0.0,4831.8,0
1,0,0.0,3841.19,0
1,0,0.0,3376.61,0
1,0,0.0,3835.61,0
1,0,0.0,4144.61,0
2,0,2253.3088953359234,957.95,0
1,0,0.0,4969.23,0
2,0,245.0619971558216,4622.66,0
1,0,0.0,1392.44,0
